952,246,1111,246,1111,295,952,295
1139,246,1281,246,1281,295,1139,295
1292,246,1385,246,1385,295,1292,295
1396,251,1500,251,1500,295,1396,295
268,306,394,306,394,361,268,361
2086,403,2206,377,2217,429,2098,455
903,383,1396,383,1396,476,903,476
1495,394,1577,394,1577,465,1495,465
2004,399,2092,399,2092,438,2004,438
2070,438,2218,438,2218,476,2070,476
383,618,580,618,580,679,383,679
246,624,345,624,345,679,246,679
246,706,383,706,383,761,246,761
575,783,684,783,684,837,575,837
706,783,1062,783,1062,843,706,843
1084,783,1286,783,1286,843,1084,843
1281,783,1653,783,1653,843,1281,843
246,788,345,788,345,837,246,837
383,788,553,788,553,843,383,843
1670,788,1774,788,1774,843,1670,843
235,887,690,887,690,947,235,947
701,887,761,887,761,947,701,947
772,887,1024,887,1024,947,772,947
1046,887,1188,887,1188,941,1046,941
1215,887,1412,887,1412,947,1215,947
1434,887,1582,887,1582,947,1434,947
1604,887,1714,887,1714,941,1604,941
1730,887,1823,887,1823,936,1730,936
1851,887,2053,887,2053,947,1851,947
2103,887,2239,887,2239,941,2103,941
235,963,509,963,509,1024,235,1024
536,963,733,963,733,1024,536,1024
985,963,1188,963,1188,1024,985,1024
1402,963,1511,963,1511,1024,1402,1024
1538,963,1900,963,1900,1024,1538,1024
1911,963,2239,963,2239,1029,1911,1029
761,969,881,969,881,1024,761,1024
909,969,958,969,958,1018,909,1018
1210,969,1380,969,1380,1024,1210,1024
235,1046,525,1046,525,1106,235,1106
547,1046,701,1046,701,1106,547,1106
719,1052,820,1043,825,1100,724,1110
848,1046,1100,1046,1100,1106,848,1106
1122,1046,1286,1046,1286,1106,1122,1106
279,1204,410,1204,410,1265,279,1265
914,1204,1905,1204,1905,1265,914,1265
421,1210,558,1210,558,1265,421,1265
618,1210,920,1210,920,1265,618,1265
350,1286,558,1286,558,1341,350,1341
618,1286,772,1286,772,1347,618,1347
794,1286,920,1286,920,1341,794,1341
1013,1286,1615,1286,1615,1347,1013,1347
1642,1286,1747,1286,1747,1347,1642,1347
1763,1286,2026,1286,2026,1341,1763,1341
290,1297,323,1297,323,1341,290,1341
941,1292,991,1292,991,1336,941,1336
651,1363,980,1363,980,1423,651,1423
974,1363,1297,1363,1297,1423,974,1423
1681,1363,2020,1363,2020,1423,1681,1423
1380,1369,1637,1369,1637,1423,1380,1423
646,1445,980,1445,980,1506,646,1506
974,1445,1297,1445,1297,1500,974,1500
1429,1445,1642,1445,1642,1500,1429,1500
1659,1445,2042,1445,2042,1500,1659,1500
1352,1451,1434,1451,1434,1500,1352,1500
350,1527,558,1527,558,1582,350,1582
618,1527,744,1527,744,1582,618,1582
772,1527,848,1527,848,1582,772,1582
870,1527,1046,1527,1046,1582,870,1582
290,1538,334,1538,334,1582,290,1582
350,1604,553,1604,553,1664,350,1664
624,1604,865,1604,865,1664,624,1664
876,1604,1117,1604,1117,1664,876,1664
1133,1604,1265,1604,1265,1659,1133,1659
1265,1604,1396,1604,1396,1664,1265,1664
1407,1604,1615,1604,1615,1664,1407,1664
1632,1604,1807,1604,1807,1664,1632,1664
1823,1604,2031,1604,2031,1664,1823,1664
2141,1604,2223,1604,2223,1664,2141,1664
290,1615,334,1615,334,1659,290,1659
2042,1610,2135,1610,2135,1659,2042,1659
350,1686,553,1686,553,1741,350,1741
618,1686,772,1686,772,1741,618,1741
799,1686,1100,1686,1100,1741,799,1741
1221,1686,1429,1686,1429,1747,1221,1747
1451,1686,1549,1686,1549,1741,1451,1741
284,1697,328,1697,328,1736,284,1736
1128,1692,1210,1692,1210,1741,1128,1741
618,1763,843,1763,843,1823,618,1823
859,1763,1128,1763,1128,1823,859,1823
1144,1763,1412,1763,1412,1823,1144,1823
1429,1763,1610,1763,1610,1823,1429,1823
1637,1763,1856,1763,1856,1823,1637,1823
1872,1763,2218,1763,2218,1823,1872,1823
290,1774,323,1774,323,1818,290,1818
355,1768,558,1768,558,1823,355,1823
777,1922,1128,1922,1128,1982,777,1982
1150,1922,1517,1922,1517,1982,1150,1982
1517,1922,1862,1922,1862,1982,1517,1982
235,1927,334,1927,334,1982,235,1982
449,1927,618,1927,618,1982,449,1982
640,1927,750,1927,750,1982,640,1982
1878,1927,1982,1927,1982,1982,1878,1982
2004,1927,2119,1927,2119,1982,2004,1982
2124,1927,2223,1927,2223,1982,2124,1982
383,1933,432,1933,432,1977,383,1977
449,2004,618,2004,618,2064,449,2064
646,2004,750,2004,750,2059,646,2059
777,2004,1128,2004,1128,2064,777,2064
1150,2004,1347,2004,1347,2064,1150,2064
1374,2004,1725,2004,1725,2064,1374,2064
1894,2004,1955,2004,1955,2064,1894,2064
383,2009,432,2009,432,2059,383,2059
1747,2009,1845,2009,1845,2064,1747,2064
