268,306,394,306,394,361,268,361
1007,372,1084,372,1084,410,1007,410
1078,372,1177,372,1177,410,1078,410
1193,372,1265,372,1265,410,1193,410
1270,372,1297,372,1297,405,1270,405
1325,372,1396,372,1396,410,1325,410
1402,372,1533,372,1533,410,1402,410
706,498,1007,498,1007,580,706,580
2075,503,2267,503,2267,547,2075,547
1007,503,1823,503,1823,585,1007,585
2092,553,2250,553,2250,591,2092,591
410,728,607,728,607,788,410,788
251,733,345,733,345,783,251,783
246,810,394,810,394,865,246,865
246,892,345,892,345,947,246,947
410,892,558,892,558,947,410,947
585,892,783,892,783,947,585,947
810,892,903,892,903,947,810,947
312,1013,432,1013,432,1067,312,1067
460,1013,613,1013,613,1067,460,1067
629,1013,837,1013,837,1067,629,1067
240,1024,268,1024,268,1062,240,1062
235,1100,273,1100,273,1144,235,1144
312,1095,438,1095,438,1150,312,1150
454,1095,766,1095,766,1144,454,1144
312,1171,536,1171,536,1226,312,1226
558,1171,706,1171,706,1226,558,1226
805,1171,958,1171,958,1226,805,1226
230,1177,273,1177,273,1226,230,1226
733,1177,783,1177,783,1226,733,1226
1538,2661,1610,2661,1610,2694,1538,2694
1621,2661,1664,2661,1664,2694,1621,2694
1659,2661,1714,2661,1714,2699,1659,2699
509,2672,635,2672,635,2721,509,2721
1013,2672,1139,2672,1139,2721,1013,2721
257,2683,383,2683,383,2716,257,2716
755,2683,816,2683,816,2716,755,2716
816,2683,887,2683,887,2716,816,2716
1265,2683,1330,2683,1330,2716,1265,2716
1538,2699,1664,2699,1664,2749,1538,2749
257,2919,366,2919,366,2957,257,2957
251,3061,334,3061,334,3105,251,3105
355,3061,443,3061,443,3105,355,3105
443,3066,591,3066,591,3105,443,3105
1319,3066,1396,3066,1396,3105,1319,3105
848,3121,980,3121,980,3176,848,3176
996,3121,1232,3121,1232,3176,996,3176
257,3132,290,3132,290,3170,257,3170
312,3127,427,3127,427,3170,312,3170
520,3127,728,3127,728,3176,520,3176
750,3127,832,3127,832,3170,750,3170
1643,3123,1755,3132,1751,3179,1639,3170
1747,3127,1796,3127,1796,3170,1747,3170
777,3187,881,3187,881,3236,777,3236
1872,3187,2103,3187,2103,3242,1872,3242
257,3198,339,3198,339,3236,257,3236
350,3192,509,3192,509,3242,350,3242
520,3192,613,3192,613,3236,520,3236
903,3192,985,3192,985,3236,903,3236
991,3198,1067,3198,1067,3236,991,3236
1073,3198,1166,3198,1166,3236,1073,3236
1347,3198,1418,3198,1418,3236,1347,3236
1412,3198,1522,3198,1522,3236,1412,3236
1599,3198,1642,3198,1642,3236,1599,3236
1286,3203,1352,3203,1352,3242,1286,3242
1533,3203,1582,3203,1582,3242,1533,3242
