753,268,924,257,927,311,757,322
936,262,1111,262,1111,317,936,317
1128,262,1303,262,1303,317,1128,317
1325,262,1538,262,1538,317,1325,317
1555,262,1774,262,1774,317,1555,317
2015,361,2130,361,2130,416,2015,416
2135,361,2289,361,2289,410,2135,410
887,405,1642,405,1642,514,887,514
262,421,520,421,520,470,262,470
2234,503,2283,503,2283,542,2234,542
2031,509,2168,509,2168,547,2031,547
2163,509,2234,509,2234,553,2163,553
251,646,432,646,432,711,251,711
536,646,772,646,772,717,536,717
246,744,427,744,427,816,246,816
251,843,317,843,317,898,251,898
355,843,421,843,421,898,355,898
536,843,711,843,711,903,536,903
739,843,903,843,903,903,739,903
931,843,1139,843,1139,898,931,898
1166,843,1429,843,1429,903,1166,903
1451,843,1615,843,1615,903,1451,903
1642,843,1747,843,1747,903,1642,903
1763,843,1878,843,1878,903,1763,903
1894,843,2190,843,2190,903,1894,903
241,946,526,953,525,1016,239,1010
553,947,701,947,701,1007,553,1007
909,947,1073,947,1073,1007,909,1007
1314,947,1462,947,1462,1018,1314,1018
1731,945,1929,952,1927,1023,1728,1016
722,952,887,952,887,1007,722,1007
1089,952,1286,952,1286,1013,1089,1013
1484,952,1588,952,1588,1018,1484,1018
1604,952,1714,952,1714,1018,1604,1018
1949,952,2152,952,2152,1018,1949,1018
2174,952,2278,952,2278,1007,2174,1007
235,1035,410,1035,410,1100,235,1100
438,1035,799,1035,799,1106,438,1106
821,1040,980,1040,980,1095,821,1095
1002,1040,1171,1040,1171,1100,1002,1100
366,1144,558,1144,558,1215,366,1215
569,1144,777,1144,777,1210,569,1210
273,1150,350,1150,350,1204,273,1204
2075,1193,2163,1193,2163,1237,2075,1237
2212,1199,2250,1199,2250,1237,2212,1237
1265,1265,1380,1265,1380,1314,1265,1314
1725,1265,1840,1265,1840,1314,1725,1314
487,1303,640,1303,640,1358,487,1358
706,1303,859,1303,859,1358,706,1358
317,1308,394,1308,394,1358,317,1358
914,1308,1067,1308,1067,1358,914,1358
2075,1308,2228,1308,2228,1363,2075,1363
1150,1347,1237,1347,1237,1396,1150,1396
1380,1347,1533,1347,1533,1402,1380,1402
1604,1347,1697,1347,1697,1402,1604,1402
1840,1347,1922,1347,1922,1402,1840,1402
273,1467,432,1467,432,1517,273,1517
498,1467,635,1467,635,1517,498,1517
717,1467,854,1467,854,1517,717,1517
952,1467,1035,1467,1035,1517,952,1517
1171,1473,1199,1473,1199,1511,1171,1511
1325,1467,1495,1467,1495,1517,1325,1517
1632,1473,1659,1473,1659,1511,1632,1511
1785,1467,1955,1467,1955,1517,1785,1517
2064,1467,2234,1467,2234,1511,2064,1511
224,1675,323,1675,323,1736,224,1736
470,1675,777,1675,777,1736,470,1736
794,1675,1051,1675,1051,1736,794,1736
1067,1675,1161,1675,1161,1736,1067,1736
399,1681,449,1681,449,1730,399,1730
470,1763,701,1763,701,1823,470,1823
722,1763,936,1763,936,1823,722,1823
985,1763,1046,1763,1046,1823,985,1823
399,1768,449,1768,449,1818,399,1818
2064,2853,2157,2853,2157,2880,2064,2880
235,2858,339,2858,339,2902,235,2902
520,2858,646,2858,646,2908,520,2908
755,2864,887,2864,887,2902,755,2902
1035,2858,1204,2858,1204,2908,1035,2908
1270,2864,1402,2864,1402,2902,1270,2902
1549,2858,1681,2858,1681,2908,1549,2908
1790,2858,1960,2858,1960,2902,1790,2902
2064,2880,2152,2880,2152,2929,2064,2929
235,2957,361,2957,361,3012,235,3012
421,2962,525,2962,525,3001,421,3001
750,2957,881,2957,881,3006,750,3006
1256,3078,1350,3068,1356,3121,1261,3131
240,3083,317,3083,317,3121,240,3121
372,3077,657,3077,657,3127,372,3127
1221,3083,1254,3083,1254,3121,1221,3121
246,3154,279,3154,279,3192,246,3192
301,3149,416,3149,416,3198,301,3198
460,3149,657,3149,657,3198,460,3198
668,3149,788,3149,788,3198,668,3198
799,3149,952,3149,952,3198,799,3198
969,3159,1018,3159,1018,3198,969,3198
1407,3159,1659,3159,1659,3198,1407,3198
1665,3154,1841,3163,1839,3206,1663,3197
1834,3159,1883,3159,1883,3198,1834,3198
231,3221,315,3210,322,3262,238,3273
1824,3211,2038,3220,2036,3272,1821,3264
350,3225,542,3225,542,3264,350,3264
536,3220,640,3220,640,3264,536,3264
679,3220,772,3220,772,3269,679,3269
816,3225,898,3225,898,3264,816,3264
898,3225,1002,3225,1002,3264,898,3264
1002,3220,1106,3220,1106,3264,1002,3264
1193,3225,1538,3225,1538,3269,1193,3269
1533,3231,1582,3231,1582,3269,1533,3269
1588,3231,1637,3231,1637,3264,1588,3264
