268,306,394,306,394,361,268,361
980,366,1095,366,1095,410,980,410
1117,372,1292,372,1292,410,1117,410
1319,372,1434,372,1434,410,1319,410
1456,372,1588,372,1588,410,1456,410
903,503,1642,503,1642,580,903,580
410,728,607,728,607,788,410,788
251,733,345,733,345,783,251,783
246,810,394,810,394,865,246,865
246,892,345,892,345,947,246,947
536,892,1380,892,1380,952,536,952
1407,892,1555,892,1555,947,1407,947
1588,892,1681,892,1681,947,1588,947
1708,892,1807,892,1807,947,1708,947
1834,892,1933,892,1933,947,1834,947
1960,892,2059,892,2059,947,1960,947
405,898,514,898,514,947,405,947
312,1013,432,1013,432,1067,312,1067
460,1013,832,1013,832,1067,460,1067
832,1013,1122,1013,1122,1067,832,1067
1133,1013,1237,1013,1237,1067,1133,1067
240,1024,268,1024,268,1062,240,1062
432,1089,1281,1089,1281,1150,432,1150
1308,1089,1456,1089,1456,1144,1308,1144
1610,1089,1757,1089,1757,1150,1610,1150
1785,1089,1938,1089,1938,1150,1785,1150
1960,1089,2059,1089,2059,1150,1960,1150
2079,1095,2282,1085,2285,1144,2082,1154
240,1100,273,1100,273,1144,240,1144
306,1095,416,1095,416,1144,306,1144
1484,1095,1582,1095,1582,1150,1484,1150
312,1171,410,1171,410,1226,312,1226
410,1171,558,1171,558,1226,410,1226
585,1171,744,1171,744,1226,585,1226
284,1254,355,1254,355,1308,284,1308
388,1254,481,1254,481,1308,388,1308
405,1330,509,1330,509,1385,405,1385
980,1330,1084,1330,1084,1391,980,1391
1111,1330,1391,1330,1391,1385,1111,1385
334,1336,394,1336,394,1385,334,1385
531,1336,684,1336,684,1385,531,1385
706,1336,837,1336,837,1385,706,1385
832,1336,985,1336,985,1385,832,1385
334,1412,388,1412,388,1467,334,1467
410,1412,498,1412,498,1467,410,1467
536,1412,733,1412,733,1467,536,1467
755,1412,1024,1412,1024,1467,755,1467
1029,1412,1133,1412,1133,1467,1029,1467
1161,1412,1440,1412,1440,1467,1161,1467
531,1489,881,1489,881,1549,531,1549
1007,1489,1385,1489,1385,1549,1007,1549
284,1495,345,1495,345,1544,284,1544
383,1495,509,1495,509,1549,383,1549
903,1495,985,1495,985,1549,903,1549
1407,1495,1456,1495,1456,1544,1407,1544
1484,1495,1582,1495,1582,1549,1484,1549
1610,1495,1736,1495,1736,1549,1610,1549
284,1571,345,1571,345,1626,284,1626
383,1571,509,1571,509,1626,383,1626
536,1571,783,1571,783,1626,536,1626
