268,306,394,306,394,361,268,361
722,470,892,470,892,520,722,520
914,470,1040,470,1040,520,914,520
1056,470,1265,470,1265,520,1056,520
1473,470,1812,470,1812,520,1473,520
1286,476,1456,476,1456,525,1286,525
2042,542,2212,542,2212,651,2042,651
826,613,1692,613,1692,701,826,701
2108,629,2278,629,2278,739,2108,739
295,722,427,722,427,772,295,772
492,783,722,783,722,843,492,843
246,788,416,788,416,843,246,843
240,854,421,854,421,920,240,920
240,925,301,925,301,980,240,980
361,925,421,925,421,974,361,974
492,925,607,925,607,980,492,980
635,925,980,925,980,985,635,985
985,925,1139,925,1139,985,985,985
1177,925,1314,925,1314,980,1177,980
1352,925,1500,925,1500,985,1352,985
1527,925,1703,925,1703,991,1527,991
1730,925,1862,925,1862,980,1730,980
1900,925,2020,925,2020,985,1900,985
2048,925,2283,925,2283,985,2048,985
312,1018,509,1018,509,1073,312,1073
240,1029,273,1029,273,1073,240,1073
383,1095,958,1095,958,1155,383,1155
1254,1095,1719,1095,1719,1155,1254,1155
1741,1095,1911,1095,1911,1150,1741,1150
1933,1095,2103,1095,2103,1150,1933,1150
2119,1095,2228,1095,2228,1150,2119,1150
284,1100,350,1100,350,1150,284,1150
952,1100,1046,1100,1046,1150,952,1150
1089,1100,1232,1100,1232,1150,1089,1150
284,1177,345,1177,345,1232,284,1232
377,1177,684,1177,684,1232,377,1232
679,1177,952,1177,952,1232,679,1232
947,1177,1007,1177,1007,1232,947,1232
1084,1177,1232,1177,1232,1232,1084,1232
1248,1177,1725,1177,1725,1232,1248,1232
1747,1177,1840,1177,1840,1232,1747,1232
1851,1177,2026,1177,2026,1232,1851,1232
2042,1177,2152,1177,2152,1226,2042,1226
284,1259,345,1259,345,1308,284,1308
383,1259,1040,1259,1040,1314,383,1314
1095,1259,1193,1259,1193,1308,1095,1308
1204,1259,1670,1259,1670,1314,1204,1314
1686,1259,1779,1259,1779,1314,1686,1314
1790,1259,1883,1259,1883,1308,1790,1308
1894,1259,1987,1259,1987,1314,1894,1314
1998,1259,2108,1259,2108,1308,1998,1308
230,1418,273,1418,273,1467,230,1467
312,1418,416,1418,416,1473,312,1473
438,1418,547,1418,547,1473,438,1473
591,1418,690,1418,690,1467,591,1467
717,1418,1073,1418,1073,1473,717,1473
1095,1418,1226,1418,1226,1467,1095,1467
1248,1418,1440,1418,1440,1473,1248,1473
1473,1418,1582,1418,1582,1467,1473,1467
1604,1418,1801,1418,1801,1473,1604,1473
1829,1418,2031,1418,2031,1473,1829,1473
2053,1418,2168,1418,2168,1467,2053,1467
2185,1418,2283,1418,2283,1467,2185,1467
438,1495,547,1495,547,1549,438,1549
570,1492,779,1498,777,1556,568,1549
876,1495,980,1495,980,1555,876,1555
980,1495,1193,1495,1193,1549,980,1549
1226,1495,1445,1495,1445,1555,1226,1555
1473,1495,1582,1495,1582,1549,1473,1549
1621,1495,1812,1495,1812,1549,1621,1549
1840,1495,1987,1495,1987,1549,1840,1549
2015,1495,2157,1495,2157,1549,2015,1549
306,1500,410,1500,410,1549,306,1549
799,1500,848,1500,848,1549,799,1549
2185,1500,2283,1500,2283,1549,2185,1549
312,1577,361,1577,361,1632,312,1632
383,1577,481,1577,481,1632,383,1632
509,1577,651,1577,651,1626,509,1626
673,1577,821,1577,821,1632,673,1632
843,1577,991,1577,991,1632,843,1632
1007,1577,1161,1577,1161,1632,1007,1632
1188,1577,1336,1577,1336,1632,1188,1632
1363,1577,1462,1577,1462,1632,1363,1632
1484,1577,1686,1577,1686,1632,1484,1632
1708,1577,2070,1577,2070,1632,1708,1632
2092,1577,2256,1577,2256,1632,2092,1632
1314,1757,1374,1757,1374,1812,1314,1812
284,1889,350,1889,350,1938,284,1938
383,1889,492,1889,492,1938,383,1938
514,1889,772,1889,772,1944,514,1944
777,1894,821,1894,821,1938,777,1938
832,1900,936,1900,936,1944,832,1944
1215,1982,1412,1982,1412,2037,1215,2037
